Globe Telecom - Davao City,34918,17.073,0.08,N/A,7757215,6025375,83817600,23590009,https://www.speedtest.net/result/c/c7c302da-f894-4029-8a2d-d1d7da3aff4e
Globe Telecom - Davao City,34918,17.073,0.08,N/A,7757215,6025375,83817600,23590009,https://www.speedtest.net/result/c/c7c302da-f894-4029-8a2d-d1d7da3aff4e
Globe Telecom - Davao City,34918,17.073,0.08,N/A,7757215,6025375,83817600,23590009,https://www.speedtest.net/result/c/c7c302da-f894-4029-8a2d-d1d7da3aff4e
Globe Telecom - Davao City,34918,17.073,0.08,N/A,7757215,6025375,83817600,23590009,https://www.speedtest.net/result/c/c7c302da-f894-4029-8a2d-d1d7da3aff4e
Globe Telecom - Davao City,34918,17.073,0.08,N/A,7757215,6025375,83817600,23590009,https://www.speedtest.net/result/c/c7c302da-f894-4029-8a2d-d1d7da3aff4e
Globe Telecom - Davao City,34918,17.073,0.08,N/A,7757215,6025375,83817600,23590009,https://www.speedtest.net/result/c/c7c302da-f894-4029-8a2d-d1d7da3aff4e
Globe Telecom - Davao City,34918,17.073,0.08,N/A,7757215,6025375,83817600,23590009,https://www.speedtest.net/result/c/c7c302da-f894-4029-8a2d-d1d7da3aff4e
Globe Telecom - Davao City,34918,17.073,0.08,N/A,7757215,6025375,83817600,23590009,https://www.speedtest.net/result/c/c7c302da-f894-4029-8a2d-d1d7da3aff4e
Globe Telecom - Davao City,34918,17.073,0.08,N/A,7757215,6025375,83817600,23590009,https://www.speedtest.net/result/c/c7c302da-f894-4029-8a2d-d1d7da3aff4e
Globe Telecom - Davao City,34918,17.073,0.08,N/A,7757215,6025375,83817600,23590009,https://www.speedtest.net/result/c/c7c302da-f894-4029-8a2d-d1d7da3aff4e
